data.name,folds,seed,algo,bad.groups,RSS,RMSE,mean.sd,zeros
PetAdoption,3,5,random,0,31650,45.9347363114234,49.7822349084554,0
PetAdoption,3,5,RSS,0,2,0.365148371670111,0.346410161513775,0
PetAdoption,3,5,Wasikowski,0,6,0.632455532033676,0.53644515400624,0
PetAdoption,3,5,origami,0,,,,
PetAdoption,3,6,random,0,50358,57.9413496563551,63.93273681848,0
PetAdoption,3,6,RSS,0,2,0.365148371670111,0.346410161513775,0
PetAdoption,3,6,Wasikowski,0,6,0.632455532033676,0.53644515400624,0
PetAdoption,3,6,origami,0,,,,
PetAdoption,3,7,random,0,46858,55.8915616767564,61.5215154913355,0
PetAdoption,3,7,RSS,0,2,0.365148371670111,0.346410161513775,0
PetAdoption,3,7,Wasikowski,0,2,0.365148371670111,0.346410161513775,0
PetAdoption,3,7,origami,0,,,,
PetAdoption,3,8,random,0,204358,116.721320531712,115.400337324839,0
PetAdoption,3,8,RSS,0,2,0.365148371670111,0.346410161513775,0
PetAdoption,3,8,Wasikowski,0,4,0.516397779494322,0.546410161513775,0
PetAdoption,3,8,origami,0,,,,
PetAdoption,3,9,random,0,411492,165.62849996302,171.72993815642,0
PetAdoption,3,9,RSS,0,2,0.365148371670111,0.346410161513775,0
PetAdoption,3,9,Wasikowski,0,4,0.516397779494322,0.461880215351701,0
PetAdoption,3,9,origami,0,,,,
PetAdoption,3,10,random,0,91622,78.15454774569,80.5663585218318,0
PetAdoption,3,10,RSS,0,2,0.365148371670111,0.346410161513775,0
PetAdoption,3,10,Wasikowski,0,2,0.365148371670111,0.346410161513775,0
PetAdoption,3,10,origami,0,,,,
PetAdoption,4,1,random,0,201464.25,100.365394932716,101.169745011905,0
PetAdoption,4,1,RSS,0,4.25,0.460977222864644,0.53094010767585,0
PetAdoption,4,1,Wasikowski,0,10.25,0.715891053163818,0.73094010767585,0
PetAdoption,4,1,origami,0,,,,
PetAdoption,4,2,random,0,297058.25,121.872525615907,120.525434322314,0
PetAdoption,4,2,RSS,0,4.25,0.460977222864644,0.53094010767585,0
PetAdoption,4,2,Wasikowski,0,4.25,0.460977222864644,0.53094010767585,0
PetAdoption,4,2,origami,0,,,,
PetAdoption,4,3,random,0,85488.25,65.3789912739559,65.2309195280244,0
PetAdoption,4,3,RSS,0,4.25,0.460977222864644,0.53094010767585,0
PetAdoption,4,3,Wasikowski,0,4.25,0.460977222864644,0.53094010767585,0
PetAdoption,4,3,origami,0,,,,
PetAdoption,4,4,random,0,103984.25,72.1055649724763,72.1297902660074,0
PetAdoption,4,4,RSS,0,4.25,0.460977222864644,0.53094010767585,0
PetAdoption,4,4,Wasikowski,0,4.25,0.460977222864644,0.53094010767585,0
PetAdoption,4,4,origami,0,,,,
PetAdoption,4,5,random,0,70934.25,59.5542819619211,61.6721300829046,0
PetAdoption,4,5,RSS,0,4.25,0.460977222864644,0.53094010767585,0
PetAdoption,4,5,Wasikowski,0,4.25,0.460977222864644,0.53094010767585,0
PetAdoption,4,5,origami,0,,,,
